Node_id ; adjacency_list
2241627468 > [2241627467, 2241627471]
457317267 > [457311506, 457317269]
2241627469 > [2241627479, 2241627460]
2473038773 > [4798379224]
346035315 > [4925737143]
2241627471 > [2241627468, 2241627484]
457317270 > [457317269, 457317271]
2473038771 > [2306299224, 2306299223]
457317271 > [457317270, 457317273]
2241627465 > [2241627466, 2241627462]
2241627466 > [2241627455, 2241627465]
457317269 > [457317267, 457317270]
2241627467 > [2241627463, 2241627468]
457317274 > [457317273, 457317275]
2241627460 > [2241627469, 2241627458]
457317275 > [457317274, 457317277]
2241627462 > [2241627465, 2241627453]
356324839 > [357850964]
457317273 > [457317271, 457317274]
2241627463 > [2241627450, 2241627467]
457317278 > [457317277, 457317279]
346035324 > [346030541]
457317279 > [357390712, 458718178]
2241627458 > [2241627460, 2241627444]
457317277 > [457317275, 457317278]
2308213108 > [2144031517, 2144031514]
2107211129 > [357845360, 2107211130]
457317283 > [457317289, 457311505]
2107211131 > [3104899145]
457317281 > [457311505, 457311506]
2107211130 > [2107211129, 3104901034]
457317286 > [457317285, 457317287]
2308213104 > [2144031514, 2308213095]
457317287 > [457317286, 457317288]
2107211132 > [3104911454]
457317284 > [457317283, 457317285]
457317285 > [457317284, 457317286]
457317290 > [457317340]
2241627508 > [2241627510, 2241627504]
2308213116 > [2144031545, 2308213113]
457317288 > [457317287, 457317275]
2241627510 > [2241627511, 2241627508]
457317289 > [457311504, 457317283]
2241627511 > [2241627506, 2241627510]
2308213112 > [2144031536, 2144031535]
2241627504 > [2241627508, 2241627501]
2308213113 > [2308213116, 2144031537]
2241627506 > [2241627497, 2241627511]
2308213115 > [2144031569, 2144031543]
2241627500 > [2241627501, 2241627487]
2241627501 > [2241627504, 2241627500]
2308213093 > [2144031508, 2308213091]
1357336598 > [1357335994, 1357337210]
2308213094 > [2308213096, 2308213090]
2308213095 > [2308213104, 2144031508]
2308213088 > [2308213089, 2308213085]
2241627497 > [2241627489, 2241627506]
2308213089 > [2308213091, 2308213088]
2308213090 > [2308213094, 2308213087]
2308213091 > [2308213093, 2308213089]
2241627492 > [2241627484, 2241627495]
2241627493 > [2241627491, 2241627479]
2241627495 > [2241627492, 2241627482]
2308213096 > [2308213094]
2241627489 > [2241627482, 2241627497]
2241627490 > [2241627487, 2241627491]
457317309 > [457317337]
2241627491 > [2241627490, 2241627493]
3041702984 > [3635283334, 3217633853]
4839776627 > [3753049129, 3753049126]
4839776628 > [4839776629]
4839776629 > [4839776628, 3753049129]
1357337074 > [1357337384, 1357337767]
4839776621 > [4550836130, 3753049135]
5156975221 > [5156975222]
4839776622 > [4839776623, 346080619]
5156975222 > [1778045065]
4839776623 > [4550836117, 4839776622]
5156975226 > [1778045066]
5156975227 > [5156974820]
1307659473 > [1307659468, 1307659480]
3774472665 > [3774472662, 1154342340]
3774472664 > [3774472663]
4060803886 > [4054163641, 4060803887]
4060803887 > [4060803886]
1307659480 > [1307659473, 1307659458]
3339437602 > [2196783580, 2196783590]
3774472663 > [1154342524, 3774472664]
3774472662 > [1910957596, 3774472665]
3746750050 > [3746750058]
1307659458 > [1307659480, 1307659467]
3746750049 > [3746750056]
4421256882 > [4421256880]
4061262629 > [4061262628, 4061262630]
4061262628 > [1705521643, 2841815590]
1307659463 > [1307666631]
4421256880 > [418554640, 4421256882]
4061262630 > [4061262629]
3746750058 > [3746750050]
1307659467 > [1307659458]
3746750056 > [3746750049]
1307659466 > [1307666631, 1307659468]
1307659468 > [1307659466, 1307659473]
1357337050 > [1357336440, 1357337738]
5271337825 > [5271337824]
5271337824 > [5271337825]
1357337010 > [1357336399, 1357337698]
2950082234 > [4310004619]
2432274838 > [4009065065]
2950082233 > [4310004619]
1357336982 > [1357336371, 1357336699]
1357336991 > [1357336379, 1357337683]
3240935597 > [3240935617, 3240935585]
3240935599 > [3240935612, 3240935589]
2950082128 > [2950082127]
3240935594 > [3240935630, 3240935579]
3240935589 > [3240935599, 429333203]
3240935585 > [3240935597, 3240935600]
3240935612 > [3240935615, 3240935599]
1357336950 > [1357336337, 1357337642]
3240935615 > [429333199, 3240935612]
2950082126 > [4310004619]
2950082127 > [4310004619, 2950082128]
3240935600 > [3240935619]
3240935601 > [3240935621]
3240935603 > [3240935622]
3240935564 > [429333205, 429333206]
5257115896 > [5257115895, 5257115897]
3240935565 > [3240935568, 3240935563]
5257115897 > [5257115896, 5257115898]
3240935566 > [3240935260, 3240935562]
5257115898 > [5257115897, 5257115899]
3240935567 > [3240935236, 3240935573]
5257115899 > [5257115898]
3240935561 > [3240935562, 3240935258]
3240935562 > [3240935566, 3240935561]
4360766027 > [4360766012, 4360766026]
4360766026 > [4360765996, 1950422467]
3240935563 > [3240935565, 3240935260]
5257115894 > [433733113, 433733112]
5257115895 > [5257115894, 5257115896]
3240935581 > [429333203]
3240935578 > [5340863352, 3240935254]
3240935579 > [3240935594, 3240935246]
3240935572 > [3240935573, 3240935568]
3240935573 > [3240935567, 3240935572]
3240935568 > [3240935572, 3240935565]
3240935569 > [3240935571]
4741143335 > [4741143334]
3240935571 > [3240935569]
4741143334 > [4741143335]
4360765996 > [1950422454, 4360766026]
4360765999 > [4360765992]
4360765992 > [4360766007, 4360765785]
4360765994 > [4360765780, 4360765999]
3223175637 > [2614392671, 4336412111]
3223175636 > [4336412109, 3223175637]
3223175638 > [3223175630]
3240935655 > [3240935641]
3240935649 > [3240935643, 3240935650]
3240935650 > [3240935649]
3082204793 > [346038926, 3082197373]
4360766012 > [4360766007]
3223175631 > [4336405853, 2962258192]
3223175630 > [3223175638, 2962247477]
1357336883 > [1357337175, 1357337510]
3223175625 > [3223175624, 3223175626]
3223175624 > [3223175623, 3223175625]
3223175626 > [3223175625, 3223175620]
3223175621 > [3223024741, 3223175622]
3223175620 > [1685900115]
4360766007 > [4360766012, 4360765992]
3223175623 > [3223175622, 3223175624]
3223175622 > [3223175621, 3223175623]
418584851 > [418584850, 2552110238]
3240935628 > [3240935631, 3240935626]
418584850 > [3053450626, 418584851]
3240935630 > [5340864833]
418584848 > [418584846, 3053450608]
3240935631 > [5340864833, 3240935628]
1357336835 > [1357337119, 1357337456]
3240935625 > [3240935626, 3240935633]
3240935626 > [3240935628, 3240935625]
418584858 > [2552110138, 2552110140]
3240935621 > [3240935601]
3240935622 > [3240935603, 3240935626]
3240935617 > [3240935619, 3240935597]
3240935619 > [3240935600, 3240935617]
356390097 > [1861311708, 2748785066]
3240935644 > [3240935647, 3240935645]
3240935645 > [3240935764, 3240935630]
1357336852 > [1357336243, 1357337488]
3240935647 > [3240935644]
3240935640 > [3240935633, 3240935641]
3240935641 > [3240935640, 3240935643]
418584837 > [2257647487]
3240935643 > [3240935641, 3240935649]
418584841 > [762948703]
3240935638 > [3240935626, 3240935639]
3240935639 > [3240935638, 3240935628]
418584846 > [1042190838, 418584848]
3240935633 > [3240935625, 3240935640]
418584845 > [418584844, 1042190838]
418584844 > [2552110147, 418584845]
2414317031 > [2414317030]
2414317030 > [2414317029, 2414317031]
2414317029 > [2414317028, 2414317030]
2414317028 > [4561157486, 2414317029]
2414317027 > [4561157486]
1357337313 > [1357336699, 1357335925]
2187165786 > [4867773548]
2187165777 > [4867773548]
