Node_id ; adjacency_list
2209521694 > [1034735609, 1034735611]
3404196170 > [3404196169, 3404196165]
3404196169 > [3404196168, 3404196170]
3404196168 > [3404196167, 3404196169]
4382074500 > [4382074510, 4382074492]
4382074506 > [4382074489, 4382074518]
4382074510 > [4382074513, 4382074500]
3064960272 > [2467620411, 427608343]
3062469962 > [3062469232, 3484179919]
3062469967 > [2470849647]
2962264923 > [2962247254, 4336405853]
1402105948 > [3128028253]
1402105949 > [1402123609, 1402123510]
1402105971 > [1402105984]
1402105973 > [3128028253, 1402106020]
1402105981 > [1402106047]
2465509638 > [3075121054]
747966304 > [440123025, 440123027]
1402105959 > [5274867388, 3818739962]
2469834944 > [2460423552]
1402105961 > [1402106038]
4550175947 > [4550175946]
4550175946 > [4550175947]
433733082 > [433733081]
433733080 > [1809870611, 1809870628]
433733081 > [1809870628, 433733082]
433733086 > [772385070]
433733075 > [433733077]
433733078 > [454373357, 1809870591]
433733079 > [1809870591, 1809870611]
433733077 > [433733075, 454373357]
433733066 > [1809870793]
433733064 > [1809870727, 1809870683]
433733068 > [1809870806]
433733057 > [433733053]
433733114 > [3686702648, 433733113]
433733115 > [1943912324, 1943912318]
433733112 > [5257115894]
433733113 > [433733114, 5257115894]
2655304295 > [2381197668, 2655304297]
433733118 > [433733117]
433733116 > [1943912281, 1943912324]
433733117 > [433733118, 1943912281]
433733106 > [433733105, 1500960351]
2655304300 > [2655304299, 2655304302]
433733107 > [1500960351, 433733103]
433733104 > [433733105]
2655304302 > [2381197661, 2381197658]
433733105 > [433733104, 433733106]
2655304297 > [2655304295, 2655304299]
2655304299 > [2655304297, 2655304300]
433733098 > [433733094, 433733095]
433733097 > [433733095]
433733103 > [433733107]
433733090 > [3833730898, 433733091]
433733091 > [433733090, 433733092]
433733088 > [433733089]
433733089 > [433733088, 3833730898]
433733094 > [433733093, 433733098]
433733095 > [433733098, 433733097]
433733092 > [433733091, 433733093]
433733093 > [433733092, 433733094]
3872572050 > [4350849007]
3872572048 > [3872572049]
3872572049 > [3872572048, 4350849008]
3787113970 > [3787113962]
3787113962 > [3787113970]
3787113963 > [4763690228, 346243832]
3787113966 > [3787113965, 3787113967]
3787113967 > [3787113966]
3787113964 > [3787113965]
3787113965 > [3787113964, 3787113966]
3872572042 > [4350849010]
3872572043 > [4350849010, 3872572044]
3872572041 > [3872572046]
3872572046 > [3872572045, 3872572041]
3872572044 > [3872572043, 3872572045]
3872572045 > [3872572044, 3872572046]
433733053 > [433733057, 1577704754]
2980615464 > [2201193752, 3240952987]
2980615465 > [3240952987, 3240952985]
2980615469 > [4430454252, 2201193750]
2980615456 > [3240952985, 3240952981]
2980615461 > [2201193750, 2201193751]
2980615462 > [2980615445]
2980615434 > [2980615445]
4772215003 > [4772215002, 4772215004]
4772215002 > [4772215005, 4772215003]
4772215001 > [4772215005]
4772215005 > [4772215001, 4772215002]
4772215004 > [4772215003]
2980615451 > [2980615444, 746270406]
2980615452 > [2980615453]
2980615453 > [2980615452, 2980615451]
2980615443 > [2201193751, 2201193752]
2980615444 > [755798549, 2980615451]
2980615445 > [2980615462, 2980615434]
2980615447 > [3240952981, 2201193753]
3541039071 > [3541039068, 3541039066]
3541039068 > [3541039071]
3156187338 > [3156158107, 3156158105]
3541039066 > [3541039071, 316563220]
3156187337 > [3156187336]
3156187336 > [3156187337]
3156187335 > [2401555453, 3085631557]
3541039078 > [3541039073]
1442214170 > [1442214158, 1442214155]
3541039074 > [3541039073]
3541039073 > [3541039078, 3541039074]
1442214158 > [4853163577, 1442214170]
3062469232 > [2125985582, 3062469962]
1442214155 > [1442214170, 2335019280]
4905173328 > [3405417043, 4905173327]
4905173327 > [4905173328]
5340863352 > [3240935579, 3240935578]
1307666631 > [1307659463, 1307659466]
1307666633 > [345693150, 1307659467]
2261099411 > [2261099420]
2261099420 > [2261099411]
4741480384 > [2152758917, 2152758907]
4358940323 > [2381197664, 4359018786]
458898985 > [2459200094, 458898983]
2261099453 > [2261099454]
2261099454 > [357981813, 2261099345]
458898982 > [4060906693]
458898983 > [458898985]
458898981 > [2459200094]
5092477464 > [5092477465]
5092477465 > [5092477464, 2552110121]
3066467159 > [3066467160]
2261099345 > [2261099454, 357981816]
2261099344 > [2261099345]
1218080012 > [3186208170]
3066467160 > [3066467159]
1306290280 > [5315835212, 358008003]
1306290282 > [1306290283, 1542745793]
1306290283 > [4036119748, 1305602358]
4958585455 > [4958585454, 4958585456]
4958585454 > [4958585453, 4958585455]
4958585453 > [4958585452, 4958585454]
4958585452 > [4958585451, 4958585453]
4958585451 > [4958585450, 4958585452]
4958585450 > [4958585449, 4958585451]
4958585449 > [4958585448, 4958585450]
4958585448 > [1246290071, 4958585449]
573704159 > [937429554, 278109371]
4958585462 > [4958585461, 4958585448]
4958585461 > [4958585460, 4958585462]
4958585460 > [4958585459, 4958585461]
4958585459 > [4958585458, 4958585460]
4958585458 > [4958585457, 4958585459]
4958585457 > [4958585456, 4958585458]
4958585456 > [4958585455, 4958585457]
4061123599 > [2398115484, 4061123600]
4061123598 > [3547549476]
4061123596 > [2371479088, 4061123595]
4061123595 > [4061123596]
4061123612 > [2473038773]
4061123611 > [4061123609]
4061123609 > [4061123611]
4418445637 > [4418445636]
4061123606 > [2306299224, 2306299227]
4418445636 > [3168358933, 4418445637]
4061123605 > [4061123604, 4061123606]
4061123604 > [2306299224, 4061123605]
4061123602 > [2306299223, 4061123601]
4061123601 > [4061123602]
4061123600 > [4061123599]
3076362601 > [3076362599, 3156243756]
3076362599 > [3076731484, 3076357208]
3076362598 > [3156240605, 3076357209]
353841960 > [458904265, 519560043]
3040383840 > [3040377449, 1706723926]
3040383841 > [3040383842]
3040383842 > [3040383841]
4418445626 > [3168358936, 3405408268]
1111843880 > [3086014955]
353842023 > [1817618056, 1817618061]
353842020 > [358089478, 358089475]
353842018 > [519556899, 358089473]
3192428595 > [2681723575]
2061130918 > [2061130877]
2202969550 > [2202969541, 2202969512]
2202969551 > [2202969512, 2202969521]
2202969548 > [2202969503, 3649292240]
2202969546 > [2202969520]
2202969544 > [2202969511]
353842064 > [519556899, 751617421]
2202969542 > [2202969533, 2202969535]
2202969543 > [2202969533]
2202969540 > [2202969494, 2202969522]
2202969541 > [2202969536, 2202969550]
2202969539 > [2202969497, 2202969510]
2202969536 > [2202969514, 2202969541]
1381659851 > [1381659888, 1381659874]
1381659848 > [1381659873]
2792128767 > [2792108134, 2792037517]
5274868986 > [1402123607, 346215503]
1381659854 > [1381659904, 1381659920]
1381659842 > [1381659914]
2202969556 > [2202969481, 2202969532]
1381659846 > [1381659874, 1381659919]
2202969554 > [2202969508]
1381659847 > [1381659914, 1381659904]
2792128754 > [459516806, 2792037510]
2061130877 > [2061130918]
1381659888 > [1381659851]
1381659882 > [2321609493, 1381659884]
1381659884 > [1381659882, 429527125]
1381659885 > [1381659938]
1381659874 > [1381659846]
1381659873 > [1381659848, 1381659914]
846599348 > [846599340]
2202969482 > [2202969510, 2202969480]
2202969480 > [2202969482, 358089314]
2202969481 > [2202969518, 2202969556]
4057650963 > [4057650961]
4057650961 > [4057650963]
4057650964 > [1701022930]
2202969502 > [2202969550]
2202969503 > [2202969518, 2202969548]
2202969498 > [2202969532, 2202969534]
2202969499 > [2202969516, 2202969511]
2202969496 > [2202969531, 2202969529]
2202969497 > [2202969539]
2202969494 > [2202969520]
3774465569 > [3774465573]
346043001 > [3250860396]
846599340 > [846599348]
346043002 > [3250860396]
3774465571 > [3774465575, 3774465572]
3774465570 > [290662532, 3774465566]
3774465573 > [3774465572, 3774465569]
3774465572 > [3774465571, 3774465573]
3774465575 > [4330339244, 3774465571]
2202969489 > [358089271, 746496379]
3774465574 > [290662532, 346029556]
1502773069 > [357985930, 357985971]
2202969518 > [2202969503]
2202969519 > [2202969514]
3774465563 > [3774465566, 3707440177]
2202969516 > [2202969522, 2202969499]
3810837958 > [3810837970, 3810837960]
2202969517 > [2202969529, 2202969494]
3810837959 > [3810837962, 4064881131]
1381659838 > [1381659933, 1381659930]
2202969514 > [2202969519, 2202969536]
3774465565 > [3774465564]
3774465564 > [5274875389, 3774465565]
1381659836 > [2321609496, 346112168]
2202969512 > [2202969550, 2202969551]
3774465566 > [3774465570, 3774465563]
3810837964 > [4925737149, 3810837962]
2202969510 > [2202969518]
2202969511 > [2202969499, 2202969544]
3810837965 > [4410779610, 345535314]
2202969508 > [2202969534, 2202969554]
3810837960 > [4938055308, 345522387]
3774465557 > [3774461956, 3774465558]
3810837961 > [4064881139, 3810837968]
3810837962 > [3810837964, 4064881125]
3774465559 > [4925736095, 3674269036]
3774465558 > [3774465557]
2202969534 > [2202969498, 2202969508]
2202969535 > [2202969542, 2202969531]
2202969532 > [2202969556, 2202969498]
2202969533 > [2202969543, 2202969542]
3810837968 > [3810837961, 3810837970]
2202969531 > [2202969535, 2202969496]
3810837970 > [3810837968, 3810837958]
2202969529 > [2202969496, 2202969517]
2202969522 > [2202969540, 2202969516]
2202969520 > [2202969546, 2202969494]
2202969521 > [2202969551]
458898498 > [458898493, 458898497]
458898497 > [458898498, 458898495]
4815796266 > [3120304301, 3120304293]
4815796269 > [3120304239, 3120304025]
4815796259 > [418315033, 418315040]
4815796256 > [3854214682, 3120304319]
4815796282 > [356740740, 4411216004]
4815796283 > [356385745]
4815796280 > [356382963, 2202960935]
4815796284 > [356740734]
4815796274 > [3141749165, 356379664]
4815796273 > [2024232996, 356379731]
4815796278 > [3785872342, 3785872346]
4815796279 > [418315030, 3785873572]
4815796276 > [356740724, 3785872350]
4815796277 > [3785872344, 3785872345]
1381659930 > [1381659838]
2125224429 > [2125224426]
2964101103 > [3140106617, 3140106581]
2125224426 > [2125224429, 2125224415]
1381659933 > [1381659919, 1381659838]
1381659922 > [1534472430, 1534472425]
3825713999 > [346215302, 3825714000]
1381659920 > [1381659854, 1381659842]
2125224419 > [2125224415]
1381659914 > [1381659873]
5271133566 > [357883696, 3401665777]
2964101118 > [2965764024, 2964101447]
3825714005 > [3825714004]
5271133564 > [5271133563, 5271133565]
3825714004 > [3825714003, 3825714005]
5271133565 > [5271133564, 5271133562]
3825714003 > [3825714002, 3825714004]
5271133562 > [5271133561, 5271133563]
1381659919 > [1381659846, 1381659933]
3825714002 > [3825714001, 3825714003]
5271133563 > [5271133562, 5271133564]
3825714001 > [3825714000, 3825714002]
5271133560 > [5271133559, 5271133561]
3825714000 > [3825713999, 3825714001]
5271133561 > [5271133560, 5271133562]
5271133559 > [357883692, 357883693]
1381659904 > [1381659847, 1381659854]
2964101107 > [3140106628, 3140106617]
458898490 > [458898488, 458898491]
458898491 > [458898490, 458898492]
458898488 > [357390776, 2053807990]
458898494 > [2053808068]
458898495 > [458898497]
458898492 > [458898491, 458898493]
458898493 > [458898492, 2053808046]
2125224415 > [2125224426, 2125224419]
2125224409 > [356911866, 356911844]
346108887 > [1837270372]
1381659938 > [1381659885]
2792128789 > [2792037570, 2792037576]
2244518473 > [2244518482, 1930030669]
2244518474 > [2244518478]
3141770432 > [356376688, 3141769501]
2244518475 > [2081786343, 1930030683]
2244518476 > [2244518484, 2081786351]
3141770438 > [3141770432, 3141770451]
2244518478 > [1930030669, 2244518474]
2244518479 > [1732604726, 1930030642]
3141770451 > [3141770438, 3141770452]
3141770452 > [3141770451]
2244518481 > [2244518484]
2244518482 > [1930030642, 2553674303]
2244518484 > [2244518481, 2244518476]
1805732864 > [1805732863]
5319629495 > [357878470, 357878507]
5271133572 > [5271133573]
5319629497 > [357878509, 5085861244]
5271133573 > [5271133572]
4800133545 > [2500762090, 4800133544]
4800133544 > [2500762047, 4800133543]
4800133546 > [4800133542]
4800133543 > [4800133544]
4800133542 > [2500762092, 4800133546]
433733122 > [433733125]
433733126 > [433733125]
433733125 > [433733122, 433733126]
5271327283 > [5271327284, 5271327280]
5271327282 > [5271327281, 5271327283]
5271327281 > [5271327280, 5271327282]
5271327280 > [5271327283, 5271327279]
5271327284 > [5271327274, 5271327283]
5271327267 > [5271327260, 5271327261]
5271327266 > [5271327265]
5271327265 > [5271327264, 5271327266]
5271327264 > [5271327263, 5271327265]
5271327271 > [5271327270, 5271327265]
5271327270 > [5271327274, 5271327271]
5271327269 > [357881450, 5271327274]
5271327275 > [5271327279]
5271327274 > [5271327269, 5271327270]
2224663683 > [4713265104, 1457454881]
2224663685 > [1866819789, 1457454886]
5271327279 > [5271327280, 5271327275]
3281644472 > [3281644470]
5271327255 > [5271327254, 5271327252]
5271327254 > [5271327235, 5271327255]
5271327253 > [5271327234, 755994487]
5271327252 > [5271327255]
3281644465 > [3281644462]
5271327259 > [5271327258, 5271327260]
5271327258 > [5271327259]
3281644467 > [3281644468, 3281644466]
3281644466 > [3281644467, 3281639322]
3281644469 > [3281644467]
5271327263 > [5271327262, 5271327264]
3281644468 > [3281644470, 3281644467]
5271327262 > [5271327261, 5271327263]
3281644471 > [3281639440, 3281639433]
5271327261 > [5271327267, 5271327262]
3281644470 > [3281644472, 3281644468]
5271327260 > [5271327259, 5271327267]
5271327235 > [5271327254]
5271327234 > [5098868439, 5271327253]
3281644461 > [3281644463]
3281644463 > [3281644466, 3281644461]
3281644462 > [3281644465]
2755497086 > [2755497090]
2755497074 > [2753222929, 2753222932]
2755497071 > [2753222928, 2753222929]
418525298 > [418525297, 513409630]
2755497149 > [2664673779, 766262038]
418525299 > [513409630, 513408844]
2755497148 > [2755497147, 2755497139]
418525296 > [513409575, 418525297]
418525297 > [418525296, 418525298]
2755497150 > [2664673780, 2664673777]
2755497147 > [2755497149, 2755497148]
2755497146 > [2755497138, 2755497147]
2755497137 > [2755497139, 2755497138]
2755497136 > [346110424, 2755497133]
2755497139 > [2755497148, 2755497137]
2755497138 > [2755497137, 2755497146]
356728275 > [3075223889]
2755497133 > [2755497136, 2755497131]
2224663560 > [2224663674]
2755497132 > [2755497134]
2755497135 > [5452439178]
2755497134 > [2755497132, 5452439178]
2755497129 > [2417401898, 2417401899]
2224663564 > [2224663620, 2224663455]
2755497128 > [2755497130, 2755497127]
2755497131 > [766262454, 766262456]
2755497130 > [2417401899, 2755497128]
418525290 > [357993086, 418525291]
2755497125 > [2755497097, 2755497128]
418525291 > [418525290, 418525292]
2755497127 > [2755497128, 2755497126]
2755497126 > [2755497127, 2755497121]
418525294 > [513409570, 418525295]
2755497121 > [2755497126, 2755497115]
418525295 > [418525294, 513409575]
418525292 > [418525291]
1459847068 > [1622391992, 1459847161]
356728290 > [2463900991]
1459847079 > [1459847161, 1459847164]
2755497115 > [2755497121, 2755497108]
356728292 > [3075228270, 2465423813]
2755497108 > [2755497115, 2755497101]
2755497111 > [2755497115]
1203990383 > [276612219]
2755497104 > [2755497108]
2755497107 > [2184954719, 2755497096]
2755497101 > [2755497108, 2755497097]
4421726014 > [3261247053, 5125998447]
4421726013 > [4421726012, 5125998444]
4421726012 > [4421726011, 4421726013]
3707040832 > [346111924, 5406834036]
2755497097 > [2755497101, 2755497125]
4421726011 > [4421726010, 4421726012]
2755497096 > [2755497107, 2755497088]
4421726010 > [4421726020, 4421726011]
4421726009 > [3280453017, 345682115]
4772213963 > [4772213964]
2755497088 > [2755497096]
2755497090 > [2755497086]
4772213964 > [4772213963]
1459847106 > [1919602483]
1459847105 > [1459847168]
3161035951 > [3511575965]
4421726020 > [5125998454, 4421726010]
4421726019 > [345682082, 345682087]
3161035960 > [429324225, 3076731484]
1459847127 > [1459847170]
3075121054 > [1735995429, 2465509638]
3161035953 > [3161040252]
2224663620 > [2224663674, 2224663564]
1459847133 > [1919602460, 2459656273]
2224663674 > [2224663620]
1459847161 > [1459847068, 1459847079]
4371262576 > [2152758841]
1459847164 > [1459847079]
573705011 > [573705006, 573705016]
2964101549 > [2964101555]
2964101551 > [2964101542, 2964101553]
3034684902 > [3034685695, 3034685665]
2964101541 > [2964101531, 2964101549]
573705016 > [573705011, 573704966]
2289934711 > [2289934692, 2289934736]
2964101542 > [2964101532, 2964101551]
3034684909 > [3034685710, 1140979100]
1818510711 > [4027580484, 1817554662]
2289934692 > [2289934732, 2289934711]
2964101557 > [2964101553]
3034684923 > [3034685703]
2964101559 > [2964101554]
573705006 > [573704990, 573705011]
2964101552 > [2964101549, 2964101554]
2964101553 > [2964101551, 2964101557]
2964101554 > [2964101551]
2964101555 > [2964101549]
2964101516 > [2964101523]
2964101517 > [2964101521, 2964101525]
573704976 > [573704972, 573704983]
573704983 > [573704976, 573704987]
2964101513 > [2964101525, 2964101508]
5011932056 > [5011930188]
5271458579 > [5271441926, 5271441927]
2964101508 > [2964101513, 2964101483]
3941319618 > [462069891]
573704987 > [573704983, 573704990]
573704990 > [573704987, 573705006]
2289934673 > [3859084391, 3877509920]
2964101504 > [2964101500, 2964101521]
2964101507 > [2964101531]
2964101532 > [2964101527, 2964101542]
5011932045 > [5011932047, 5011930219]
5011932047 > [5011932045]
573704966 > [573704969]
2289934664 > [2289934732]
2964101531 > [2964101521]
2964101525 > [2964101517, 2964101527]
573704969 > [573704966, 573704972]
2964101527 > [2964101525, 2964101532]
2261168123 > [2261168133]
2964101521 > [2964101504, 2964101517]
573704972 > [573704969, 573704976]
3941319636 > [2161100194]
2964101523 > [2964101516]
573705073 > [573705067, 573705078]
573705078 > [573705073, 573705031]
2022658505 > [4815844756]
2022658527 > [419772638, 419772639]
573705059 > [573705053, 573705064]
2022658524 > [2022658518, 2024253663]
418525605 > [357993299, 2262243829]
2261168030 > [2261167969, 357995268]
573705067 > [573705064, 573705073]
2022658518 > [2022658524]
573705064 > [573705059, 573705067]
3941319607 > [1861292676]
3941319605 > [291319616]
573705042 > [573705034, 573705046]
1821066730 > [1821066755, 1821066769]
418525584 > [357993296, 2262243823]
573705046 > [573705042, 573705050]
3941319567 > [2072428852]
1356298672 > [1356299844, 1356299266]
573705050 > [573705046, 573705053]
573705053 > [573705050, 573705059]
573705031 > [573704966, 573705034]
573705034 > [573705031, 573705042]
1821066738 > [573705098, 5277316799]
3941319575 > [416466460]
2261167940 > [2261167969]
573705137 > [573705132, 573705143]
573705143 > [573705137, 573705149]
3114242069 > [1729024573, 2163588072]
3114242065 > [1977959942, 1977959959]
573705149 > [573705143, 573705152]
573705123 > [573705118, 573705132]
4730597476 > [5094272846]
4730597473 > [4730597466, 1115979233]
573705132 > [573705123, 573705137]
4730597480 > [4730597443]
4730597463 > [4730597441]
4730597458 > [4730597466]
2261167969 > [2261167940, 2261168030]
4730597457 > [4730597441]
4730597471 > [4730597442, 4052454670]
573705118 > [573705102, 573705123]
4730597466 > [1115979272, 4730597473]
5081007979 > [582069899, 582069901]
4730597446 > [4730597448, 5107382426]
4730597442 > [4730597454, 4730597471]
4730597443 > [4052454661, 4052454662]
4730597441 > [4730597463]
573705098 > [573705031, 573705102]
4730597454 > [4730597442]
573705102 > [573705098, 573705118]
4730597451 > [4052454674]
2399184574 > [4839779288, 346084781]
4730597448 > [4730597446]
2399184575 > [1577704742, 346080626]
4730597449 > [4730597441]
573705200 > [573705196, 573705206]
573705206 > [573705200, 573705211]
2964101483 > [2964101508]
2964101476 > [2964101450]
573705211 > [573705206, 573705215]
4730597439 > [4052454670]
573705215 > [573705211, 573705221]
2964101500 > [2964101495, 2964101504]
573705187 > [573705183, 573705192]
4027308511 > [4027308510]
2964101497 > [2964101489]
4027308510 > [4631930018, 4027308511]
2964101493 > [2964101489, 2964257083]
573705192 > [573705187, 573705196]
2964101495 > [2964101500]
2964101489 > [2964101497, 2964101493]
573705196 > [573705192, 573705200]
4027308523 > [4027308524]
4027308522 > [1534095574, 346206055]
3785869381 > [3785869385, 356740734]
3785869380 > [3785869379]
573705174 > [573698280, 573705177]
3785869379 > [3785869380]
4027308525 > [346032022, 3774484778]
2964101450 > [2964101442, 2964101476]
4027308524 > [1835413024, 4027261844]
3785869391 > [3785869390]
4027308515 > [4027308513, 4027308516]
3785869390 > [3785869385, 3785869386]
4027308513 > [4027308515]
573705177 > [573705174, 573705183]
2964101447 > [2964101465]
4027308519 > [346032022, 1534095576]
3785869387 > [3785869395]
2289934736 > [2289934711]
573705183 > [573705177, 573705187]
3785869386 > [3785869390]
4027308518 > [4027308517]
3785869385 > [356740724, 3785869381]
2964101442 > [2964101465, 2964101450]
4027308517 > [4027308516, 4027308518]
2964101443 > [2964101456]
4027308516 > [4027308515, 4027308517]
3785869399 > [3785869392, 3785872353]
2289934732 > [2289934664, 2289934692]
3785869398 > [3785869395, 3785869396]
573705152 > [573705149, 573705098]
3785869397 > [3785869396]
3785869396 > [3785869398, 3785869397]
3785869395 > [3785869387, 3785869398]
2964101465 > [2964101447, 2964101442]
3785869392 > [3785872350, 3785869399]
2289934730 > [3859084392, 1537263273]
573705163 > [573705160, 573698261]
573705160 > [573705318, 573705163]
2964101456 > [2964101443]
4418448733 > [2400377143, 2400377131]
4418448732 > [4418448731, 4418448733]
4418448734 > [3404195563, 3404195573]
4418448728 > [2400377196, 1706724282]
4418448731 > [2400377192, 2400377133]
4418448730 > [2400377133, 2400377107]
4418448725 > [4418448724, 4418448726]
4418448724 > [1706724326, 4418448725]
4799017984 > [4061334545, 4061334546]
4418448727 > [4418448726, 1706724326]
4418448726 > [4418448725, 4418448727]
3806972145 > [731247953, 3806952376]
3054672946 > [3054672945, 3054672947]
3054672947 > [3054672946, 3054672948]
3054672945 > [3054672946]
2584916022 > [2584915045, 2945294612]
3054672948 > [3054672947]
3054672954 > [3054672953]
3054672955 > [3054672942, 3054672956]
3054672952 > [3054672946, 3054672953]
3054672953 > [3054672952, 3054672954]
3054672956 > [3054672953]
3054672942 > [3054672945, 3054672955]
3054672943 > [3054672956, 3054672954]
3161036323 > [3511575965]
1821066762 > [1821066769, 1821066770]
2022658568 > [4788379657, 2022658527]
1821066755 > [346063290, 346063292]
4537722096 > [1827577614, 418586012]
2415568240 > [2415568239]
1821066758 > [1821066769]
2415568238 > [2415568230, 2415568239]
2415568239 > [2415568238, 2415568240]
1821066770 > [1821066762, 582069887]
1821066769 > [1821066762]
2415568230 > [2041362086, 2415568238]
1585476650 > [1585476655]
1585476655 > [4382299858, 1585476650]
1585476656 > [2049307250, 2049307211]
2470689183 > [4867773560]
2470689182 > [4867773560]
2470689181 > [2470689190, 3626806048]
2470689186 > [4027447347, 4027447348]
2470689185 > [2470689194]
2470689190 > [2470689181]
3112211301 > [305582378, 345750223]
2470689188 > [4865792355, 4865792356]
2470689194 > [497122221, 2470689185]
3615227274 > [3615457989]
1356298785 > [1356299973, 1356299373]
346111924 > [1508093633, 3707040832]
2795867568 > [4370510388]
1356299151 > [1356299373, 1356299603]
4475199973 > [422940339, 415660297]
1218601920 > [3108515514]
5074912521 > [5074909675, 3294324941]
2142655542 > [2142655538, 2142655546]
2142655540 > [2142655544, 2142655538]
2142655538 > [2142655540, 2142655542]
2146129005 > [3509468038, 3509468061]
2142655550 > [2142655562]
2142655548 > [2142655552]
2146128999 > [1837295807, 1837295796]
2142655546 > [2142655542]
1356299098 > [1356300153, 1356299564]
2142655544 > [1514360574, 2142655540]
2146129018 > [4074758978]
2142655525 > [2142655523, 2142655535]
2142655523 > [2142655520, 2142655525]
2142655520 > [2142655518, 2142655523]
2142655535 > [2142655525]
2146129012 > [3509468034, 2146128985]
2142655510 > [2142655506, 2142655514]
2142655506 > [2142655510]
1534095574 > [1534095576, 4027308522]
1534095576 > [1534095574]
2142655518 > [2142655516, 2142655520]
2142655516 > [2142655514, 2142655518]
2142655514 > [2142655510, 2142655516]
2146128985 > [2146129012, 2146128999]
2146128976 > [3509468038]
3112211005 > [5103012041]
2795867493 > [2795867490, 3129438981]
3112211009 > [3112208645, 3112208647]
3112211010 > [3112211009, 3112211012]
2142655602 > [2142655585]
2584916438 > [2584916440, 2584915045]
2795867489 > [3077718526]
3112211012 > [3112211010, 3112211013]
3112211013 > [3112211012, 5103012034]
3112211014 > [5103012034, 5103012039]
2795867490 > [2368328552, 3129438964]
3112211015 > [5103012039, 3112211016]
3112211016 > [3112208647, 3112208650]
3496541088 > [3496541198]
3496541089 > [1730258925, 3136552952]
3496541090 > [3136552969, 1730258925]
2584916440 > [2945294613, 2584916438]
3496541092 > [3136552991, 3136552982]
2142655585 > [2142655602, 2142655556]
2142655599 > [2142655576]
2471737487 > [420172811]
2471737486 > [2134650514]
2142655574 > [2142655554, 2142655564]
2142655570 > [2142655576, 2142655566]
2142655568 > [2142655576, 1514360570]
2142655578 > [2142655568, 2142655562]
2142655576 > [2142655570]
2142655558 > [2142655566, 2142655556]
2142655556 > [2142655558, 2142655552]
2142655554 > [2142655548, 2142655574]
2142655552 > [2142655556, 2142655548]
2142655566 > [2142655570, 2142655558]
2142655564 > [2142655574]
2142655562 > [2142655578, 2142655550]
2289935485 > [2289935486]
2289935486 > [2289935481]
2289935481 > [2289935486, 755993358]
1356299474 > [1356299703, 1356299973]
2289935482 > [2289935494, 2289935479]
3085736932 > [3075243152, 3075243153]
3404195567 > [3404195566, 1706724159]
3404195566 > [3404195565, 3404195567]
2289935479 > [2289935482, 2293634635]
3404195565 > [3404195564, 3404195566]
3404195564 > [3404195573, 3404195565]
3404195563 > [421429524, 2400377196]
2289935472 > [2289935469]
1375960595 > [1375960601, 5271695319]
2289935469 > [2289935472]
3404195574 > [3404195573]
1375960593 > [4062731037, 1375960601]
3404195573 > [4418448734, 3404195564]
3404195568 > [2400377135, 2400377197]
3774467296 > [4925736102, 3774467293]
1375960601 > [1375960593, 1375960595]
746324064 > [746322678, 746323143]
1375960607 > [5271695318, 1375960605]
1375960606 > [5271695319, 5271695318]
1375960605 > [1375960607, 5271695317]
2289935459 > [2289935458]
2289935458 > [755996754, 357879723]
1375960608 > [4062731037]
3774467293 > [3774467296]
3774467292 > [4925736102]
746324053 > [746322671, 746323136]
1868186469 > [1868185132, 1868185739]
2144031625 > [4227647579, 357878526]
2863695602 > [2863699102, 2863699201]
2053985838 > [2053985477]
2053985833 > [2053985743]
2053985828 > [2053985630, 2053985663]
2053985831 > [2053985767, 2053985702]
2053985830 > [2053985660, 2053985692]
2053985825 > [2053985654]
746324015 > [746322637, 746323100]
746324010 > [746322630, 746323815]
2053985844 > [2053985754, 2053985807]
1868186369 > [1868185124]
2053985846 > [2053985708, 2053985841]
2053985841 > [2053985846, 2053985575]
746324003 > [746324195, 746323832]
2053985805 > [5255263889]
3496541193 > [3136553575, 3136553026]
3496541194 > [1730259114, 3136552969]
2053985807 > [2053985844, 2053985748]
746323999 > [746323588, 746323742]
3496541195 > [3136553026, 3136552991]
2053985801 > [2053985622]
3496541196 > [3496541200, 3496541203]
3496541198 > [3496541088, 3496541201]
3496541199 > [3496541201, 3496541200]
2053985796 > [2053985630, 2053985585]
2053985795 > [2053985519]
5274867207 > [346215517, 1380661927]
2053985794 > [2053985588]
2053985820 > [2053985605, 2053985710]
2053985822 > [1278902232, 1278902219]
356333896 > [4410779611, 5269701298]
1868186415 > [1868185033]
3496541200 > [3496541199, 3496541196]
3496541201 > [3496541198, 3496541199]
3496541203 > [3496541196]
2053985809 > [2053985554, 2053985699]
3585603895 > [3585603893, 3585603900]
3585603894 > [519560034, 3585603893]
3585603893 > [3585603894, 3585603895]
2144031561 > [2308213130, 2144031545]
2144031560 > [2144031567, 2308213122]
4181054897 > [4181054896, 4181054898]
2144031567 > [2144031568, 2144031560]
4181054896 > [747967122, 4181054897]
4181054898 > [4181054897]
3064961576 > [2467620410, 2467620426]
3585603903 > [3585603907, 3585603902]
2876082149 > [2876082146, 2876082139]
3585603902 > [3585603903, 3585603897]
2144031554 > [2144031584]
3585603901 > [3585603900, 3585603896]
2144031553 > [2308213122]
2876082150 > [2190731141, 2713917933]
3585603900 > [3585603895, 3585603901]
2876082145 > [1541518930, 1541518948]
3585603897 > [3585603902, 3585603904]
2876082147 > [3484179920]
3585603896 > [3585603901, 3585603907]
2876082146 > [2876082149]
