Node_id ; 'lat' and 'lon'
457317328 >  lat = 55.9970443 lon = 93.0379223
1399559161 >  lat = 56.040265 lon = 92.765581
1399559167 >  lat = 56.0406119 lon = 92.7637814
2318027454 >  lat = 56.060476 lon = 92.7559855
2318027455 >  lat = 56.0607376 lon = 92.7564069
3053450602 >  lat = 56.023622 lon = 92.870779
2318027452 >  lat = 56.0597835 lon = 92.7553133
2318027453 >  lat = 56.0599738 lon = 92.7555263
2081717428 >  lat = 55.9871657 lon = 92.9652446
1203996526 >  lat = 56.0225611 lon = 92.9030632
2081717412 >  lat = 55.9842842 lon = 92.9707011
2470745078 >  lat = 55.9827805 lon = 92.8881041
4060951231 >  lat = 56.0142062 lon = 93.0280818
2470745079 >  lat = 55.9833237 lon = 92.8879429
2081717409 >  lat = 55.9841958 lon = 92.9658066
2081717410 >  lat = 55.9842254 lon = 92.9759621
356324740 >  lat = 56.0266576 lon = 92.8611046
2081717422 >  lat = 55.9854038 lon = 92.965565
2081717423 >  lat = 55.9854361 lon = 92.9657205
2081717416 >  lat = 55.9843209 lon = 92.9706619
2081717417 >  lat = 55.9843386 lon = 92.9705499
2308213076 >  lat = 56.0967916 lon = 92.9374684
2308213077 >  lat = 56.0968912 lon = 92.9372511
2308213078 >  lat = 56.0970017 lon = 92.9369855
2308213079 >  lat = 56.0970355 lon = 92.9403997
2308213072 >  lat = 56.0967027 lon = 92.9379417
2308213073 >  lat = 56.0967054 lon = 92.9377871
2308213074 >  lat = 56.096713 lon = 92.9380953
2308213075 >  lat = 56.0967377 lon = 92.9376133
2308213084 >  lat = 56.0972515 lon = 92.936298
2473038767 >  lat = 55.9927989 lon = 92.8907593
2308213085 >  lat = 56.0972584 lon = 92.9401778
2308213086 >  lat = 56.0972876 lon = 92.9362332
2308213087 >  lat = 56.0973391 lon = 92.9361888
2308213080 >  lat = 56.0971256 lon = 92.9366668
2308213082 >  lat = 56.0971441 lon = 92.9402563
2308213083 >  lat = 56.0972229 lon = 92.9363766
2473038770 >  lat = 55.9997394 lon = 92.9196208
2473038769 >  lat = 55.9967579 lon = 92.9072331
356324839 >  lat = 56.0299822 lon = 92.8607814
457317279 >  lat = 55.9964669 lon = 93.0364303
2308213108 >  lat = 56.097904 lon = 92.9397295
2318027466 >  lat = 56.067696 lon = 92.7644662
2107211129 >  lat = 56.0351561 lon = 92.8621059
2308213109 >  lat = 56.0979516 lon = 92.9346189
2318027467 >  lat = 56.067744 lon = 92.7616571
5263391064 >  lat = 55.9852262 lon = 92.8113411
2308213110 >  lat = 56.0981652 lon = 92.9345468
2318027464 >  lat = 56.0657778 lon = 92.7603363
2107211131 >  lat = 56.0352617 lon = 92.8638012
2308213111 >  lat = 56.0982012 lon = 92.9347633
2318027465 >  lat = 56.0669248 lon = 92.7612736
2107211130 >  lat = 56.0352247 lon = 92.8630878
2308213104 >  lat = 56.0976574 lon = 92.9397325
2318027470 >  lat = 56.0684364 lon = 92.7623672
2308213105 >  lat = 56.0977079 lon = 92.9349459
2318027471 >  lat = 56.0688079 lon = 92.762097
2308213106 >  lat = 56.0977265 lon = 92.9348532
2318027468 >  lat = 56.0682276 lon = 92.7622157
2308213107 >  lat = 56.0978152 lon = 92.9347401
2318027469 >  lat = 56.0682408 lon = 92.7616997
