Node_id ; 'lat' and 'lon'
2081717378 >  lat = 55.983019 lon = 92.9693245
2081717379 >  lat = 55.9830249 lon = 92.9728862
457317338 >  lat = 55.998231 lon = 93.0378323
2081717388 >  lat = 55.9834358 lon = 92.9661393
457317339 >  lat = 55.9985219 lon = 93.0380094
2081717389 >  lat = 55.9834922 lon = 92.9671195
2081717390 >  lat = 55.9835884 lon = 92.9625048
457317337 >  lat = 55.998072 lon = 93.0379021
1357336699 >  lat = 55.9539088 lon = 92.9260979
2081717385 >  lat = 55.9833139 lon = 92.9623862
457317340 >  lat = 55.9987049 lon = 93.0381488
457317341 >  lat = 55.9993087 lon = 93.0389617
3240935820 >  lat = 55.9914776 lon = 92.885405
2241627453 >  lat = 55.9776568 lon = 92.6565962
3240935821 >  lat = 55.9915365 lon = 92.8855426
3240935822 >  lat = 55.9915607 lon = 92.8856589
3240935823 >  lat = 55.9915771 lon = 92.8859894
2241627455 >  lat = 55.977694 lon = 92.6558156
2081717424 >  lat = 55.985594 lon = 92.9588118
2241627448 >  lat = 55.9775451 lon = 92.6555597
2081717425 >  lat = 55.9857276 lon = 92.9591481
2081717426 >  lat = 55.985901 lon = 92.9591334
2241627450 >  lat = 55.9776324 lon = 92.6568854
2081717427 >  lat = 55.986379 lon = 92.9586884
2241627444 >  lat = 55.9775278 lon = 92.6592296
2241627445 >  lat = 55.9775408 lon = 92.6567779
2241627440 >  lat = 55.9771398 lon = 92.654779
2241627441 >  lat = 55.9773074 lon = 92.6553139
2241627442 >  lat = 55.977462 lon = 92.655337
2241627443 >  lat = 55.977505 lon = 92.6558335
2241627436 >  lat = 55.9770394 lon = 92.6598592
2470745078 >  lat = 55.9827805 lon = 92.8881041
2081717414 >  lat = 55.9843182 lon = 92.9584937
2241627438 >  lat = 55.9770968 lon = 92.6554957
2470745079 >  lat = 55.9833237 lon = 92.8879429
2081717415 >  lat = 55.9843182 lon = 92.9591407
2081717408 >  lat = 55.9841524 lon = 92.960909
2241627432 >  lat = 55.9769479 lon = 92.6551066
2081717411 >  lat = 55.9842307 lon = 92.966052
2241627435 >  lat = 55.9770081 lon = 92.6543669
2081717420 >  lat = 55.9850994 lon = 92.9588873
2241627428 >  lat = 55.9768103 lon = 92.6603173
356324740 >  lat = 56.0266576 lon = 92.8611046
2081717421 >  lat = 55.9853889 lon = 92.9588334
2241627429 >  lat = 55.9769091 lon = 92.6573085
2081717423 >  lat = 55.9854361 lon = 92.9657205
2470745080 >  lat = 55.984314 lon = 92.887634
3240935824 >  lat = 55.9915713 lon = 92.8857605
2241627425 >  lat = 55.9768017 lon = 92.6568708
3240935825 >  lat = 55.9915758 lon = 92.8858841
2081717418 >  lat = 55.984454 lon = 92.9583913
3240935826 >  lat = 55.991575 lon = 92.885825
2081717419 >  lat = 55.9845897 lon = 92.958429
2241627484 >  lat = 55.9782124 lon = 92.6573231
2308213076 >  lat = 56.0967916 lon = 92.9374684
2308213077 >  lat = 56.0968912 lon = 92.9372511
2308213078 >  lat = 56.0970017 lon = 92.9369855
2241627487 >  lat = 55.9782303 lon = 92.6574918
2308213079 >  lat = 56.0970355 lon = 92.9403997
2308213072 >  lat = 56.0967027 lon = 92.9379417
2308213073 >  lat = 56.0967054 lon = 92.9377871
2241627482 >  lat = 55.9781979 lon = 92.6567588
2308213074 >  lat = 56.096713 lon = 92.9380953
2308213075 >  lat = 56.0967377 lon = 92.9376133
2308213084 >  lat = 56.0972515 lon = 92.936298
2473038767 >  lat = 55.9927989 lon = 92.8907593
2308213085 >  lat = 56.0972584 lon = 92.9401778
2308213086 >  lat = 56.0972876 lon = 92.9362332
346035306 >  lat = 56.0133972 lon = 92.8480531
2241627479 >  lat = 55.978145 lon = 92.6591041
2308213087 >  lat = 56.0973391 lon = 92.9361888
2308213080 >  lat = 56.0971256 lon = 92.9366668
2308213082 >  lat = 56.0971441 lon = 92.9402563
2308213083 >  lat = 56.0972229 lon = 92.9363766
346035312 >  lat = 56.0152237 lon = 92.8476799
2241627468 >  lat = 55.9779904 lon = 92.657062
457317267 >  lat = 55.9982789 lon = 93.0369419
2241627469 >  lat = 55.9779932 lon = 92.6591835
2473038773 >  lat = 56.0006369 lon = 92.9215338
346035315 >  lat = 56.0164127 lon = 92.8474043
2241627471 >  lat = 55.9780391 lon = 92.657446
457317270 >  lat = 55.9981349 lon = 93.037033
2473038771 >  lat = 56.0003961 lon = 92.9206322
457317271 >  lat = 55.997757 lon = 93.0367058
